city_key,geo_name,province,lon,lat,level,treat,post,treat_post,year,pm25,gdp,population,secondary_pct,tertiary_pct,fiscal_revenue,loan,wage,primary_teacher_per_10k,higher_teacher_per_10k,primary_student_per_10k,higher_student_per_10k,primary_school_count,higher_school_count,gdp_pc,ln_pm25,ln_gdp_pc,ln_fiscal,ln_pop,rel_year
吴忠,吴忠市,宁夏回族自治区,106.532262,37.465858,city,0,0,0,2010,44.900001525878906,216.9973,1.3835,50.83,31.71,15.6692,148.9287,34051.2,93.2924,1.1493,1684.8572,13.6104,435.0,1.0,156.84662088904952,3.804437828732148,5.055268390821896,2.7516970020972287,0.3246165202448435,-4
周口,周口市,河南,114.883192,33.721762,city,0,0,0,2010,81.20000457763672,1228.3024,12.2435,45.42,24.81,38.3087,760.2751,23376.6,79.1179,1.5453,1894.7196,31.3489,4567.0,3.0,100.32281618818149,4.3969153035424675,4.608393148541849,3.6456770244380237,2.504995183921343,-4
呼伦贝尔,呼伦贝尔市,内蒙古自治区,120.906902,49.635232,city,0,0,0,2010,28.899999618530273,932.0138,2.713,42.12,38.31,55.9851,447.1989,31223.51,93.8629,2.7129,877.9948,44.39,392.0,2.0,343.53623295245114,3.363841581918742,5.839292587766129,4.025085583903295,0.9980550336767947,-4
呼和浩特,呼和浩特市,内蒙古自治区,111.50328,40.597159,city,0,0,0,2010,42.5,1865.7116,2.2956,36.39,58.71,126.7617,929.81,37693.47,84.026,52.74,1455.3929,937.7723,486.0,22.0,812.733751524656,3.7495040759303713,6.7004035670120485,4.842308945903508,0.8309942472520704,-4
和田,和田地区,新疆维吾尔自治区,81.72906,37.578228,city,0,0,0,2010,92.9000015258789,,,,,,,,,,,,,,,4.531523662244754,,,,-4
咸宁,咸宁市,湖北,114.180828,29.622169,city,0,0,0,2010,51.60000228881836,520.33,2.9096,45.7,34.9,23.3388,266.5755,21636.78,71.1026,9.204,1373.3847,106.5439,632.0,3.0,178.83214187517186,3.943521716844461,5.1864476109862565,3.1501172116549228,1.0680156146906423,-4
咸阳,咸阳市,陕西,108.394642,34.785702,city,0,0,0,2010,54.20000076293945,1098.681,5.2009,52.18,29.32,43.4802,711.7937,27783.68,100.4557,10.7385,1559.5378,217.5816,1854.0,13.0,211.24824549597187,3.992680922521974,5.353033960858282,3.772305662058437,1.6488316875343758,-4
哈密,哈密市,新疆维吾尔自治区,93.512835,43.0655,city,0,0,0,2010,41.79999923706055,,,,,,,,,,,,,,,3.7328963212785706,,,,-4
哈尔滨,哈尔滨市,黑龙江,127.966759,45.648633,city,0,0,0,2010,43.400001525878906,3664.8538,9.9202,37.78,50.96,238.1428,2580.1409,32411.1,75.6779,31.0679,908.7518,485.463,2154.0,49.0,369.4334590028427,3.770459476264859,5.911970640281741,5.472870493743442,2.294573082383868,-4
唐山,唐山市,河北,118.343325,39.71703,city,1,0,0,2010,77.80000305175781,4469.1588,7.35,58.14,32.42,195.8419,2515.148,37230.96,80.3361,7.6585,1066.5306,132.8408,1608.0,9.0,608.0488163265306,4.354141470410024,6.410255168753838,5.277307701074284,1.9947003132247452,-4
商丘,商丘市,河南,115.702245,34.28898,city,0,0,0,2010,77.80000305175781,1143.7913,9.1801,46.52,27.29,43.0029,667.2823,24258.62,91.8857,4.635,1978.7366,83.9664,3080.0,6.0,124.59464493850831,4.354141470410024,4.8250656274081685,3.7612675552799275,2.2170380978192554,-4
商洛,商洛市,陕西,109.907166,33.647601,city,0,0,0,2010,41.900001525878906,285.9,2.4483,41.21,38.49,12.01,247.7,24104.48,89.0863,1.499,1396.4792,54.883,1800.0,2.0,116.77490503614752,3.7352858633452493,4.760248193167096,2.485739636091892,0.8953939061611699,-4
喀什,喀什地区,新疆维吾尔自治区,77.133824,38.111752,city,0,0,0,2010,104.20000457763672,,,,,,,,,,,,,,,4.64631217325052,,,,-4
嘉兴,嘉兴市,浙江,120.783487,30.620063,city,1,0,0,2010,58.0,2300.2027,3.416,58.24,36.24,176.8297,1629.7075,36317.44,76.3876,7.5732,1266.6862,153.2523,370.0,6.0,673.3614461358313,4.060443010546419,6.512282252542442,5.175187122520743,1.2284702759263235,-4
嘉峪关,嘉峪关市,甘肃,98.211266,39.829379,city,0,0,0,2010,40.900001525878906,184.3192,0.218,80.16,18.5,8.3365,75.8052,46992.34,81.9266,8.6239,1133.0275,128.4404,31.0,1.0,845.5009174311926,3.711130100356308,6.7399292534133775,2.1206434640183764,-1.523260216193048,-4
四平,四平市,吉林,124.388756,43.487587,city,0,0,0,2010,51.70000076293945,779.5527,3.4055,42.75,30.12,27.9049,389.4619,22377.35,77.1017,5.8229,979.5918,156.9256,1177.0,3.0,228.90991043899572,3.9454577962714326,5.433328521953983,3.3288023006468053,1.225391771699236,-4
固原,固原市,宁夏回族自治区,106.186077,35.918037,city,0,0,0,2010,46.29999923706055,104.031,1.5253,21.03,50.05,5.2581,58.7675,33468.45,102.6487,2.8126,1829.804,38.4187,1026.0,1.0,68.20363207237921,3.8351419446140143,4.222497819624599,1.659769744765103,0.42219111202375054,-4
